fecha,turistas,pernoctaciones,duracion_media_de_los_viajes,zona
            2022M07,338842,1630396,4,Andalucia
            2022M06,265766,1098485,4,Andalucia
            2022M05,231089,870959,3,Andalucia
            2022M04,236212,994445,4,Andalucia
            2022M03,217695,872336,4,Andalucia
            2022M02,168206,608992,3,Andalucia
            2022M01,165818,776511,4,Andalucia
            2021M12,223444,1042988,4,Andalucia
            2021M11,213476,852548,4,Andalucia
            2021M10,241509,1035834,4,Andalucia
            2021M09,233782,1040898,4,Andalucia
            2021M08,286383,1451870,5,Andalucia
            2021M07,208878,925192,4,Andalucia
            2021M06,166666,608952,3,Andalucia
            2021M05,136068,465831,3,Andalucia
            2021M04,95131,374273,3,Andalucia
            2021M03,93599,351952,3,Andalucia
            2021M02,59101,210637,3,Andalucia
            2021M01,73855,302124,4,Andalucia
            2020M12,87252,527765,6,Andalucia
            2020M11,68618,364803,5,Andalucia
            2020M10,120145,596472,5,Andalucia
            2020M09,123371,558701,4,Andalucia
            2020M08,170943,1073667,6,Andalucia
            2020M07,134319,732121,5,Andalucia
            2020M06,49990,238380,4,Andalucia
            2020M05,40403,208410,5,Andalucia
            2020M04,25739,147680,5,Andalucia
            2020M03,159389,819972,5,Andalucia
            2020M02,241170,1151775,4,Andalucia
            2020M01,242204,1322416,5,Andalucia
            2019M12,324463,1618723,5,Andalucia
            2019M11,240738,1124745,4,Andalucia
            2019M10,238589,1251958,5,Andalucia
            2019M09,327338,1753909,5,Andalucia
            2019M08,402796,2746823,6,Andalucia
            2019M07,335082,1887118,5,Andalucia
            2022M07,58149,308122,5,Aragon
            2022M06,39445,173260,4,Aragon
            2022M05,34377,138640,4,Aragon
            2022M04,40735,178043,4,Aragon
            2022M03,34566,132486,3,Aragon
            2022M02,23786,95548,4,Aragon
            2022M01,28567,131887,4,Aragon
            2021M12,35165,163074,4,Aragon
            2021M11,30772,121695,4,Aragon
            2021M10,37029,151991,4,Aragon
            2021M09,34478,164390,4,Aragon
            2021M08,43795,265036,6,Aragon
            2021M07,29998,146151,4,Aragon
            2021M06,19083,80040,4,Aragon
            2021M05,13956,55105,3,Aragon
            2021M04,12043,47511,3,Aragon
            2021M03,12776,46014,3,Aragon
            2021M02,8850,32659,3,Aragon
            2021M01,10799,42344,3,Aragon
            2020M12,10239,57709,5,Aragon
            2020M11,8592,44893,5,Aragon
            2020M10,17238,81433,4,Aragon
            2020M09,18127,80647,4,Aragon
            2020M08,23327,159206,6,Aragon
            2020M07,20718,106673,5,Aragon
            2020M06,7683,31449,4,Aragon
            2020M05,5334,23237,4,Aragon
            2020M04,3957,18025,4,Aragon
            2020M03,23439,115007,4,Aragon
            2020M02,34786,168686,4,Aragon
            2020M01,38483,207042,5,Aragon
            2019M12,51932,257913,5,Aragon
            2019M11,37411,174756,4,Aragon
            2019M10,42708,214880,5,Aragon
            2019M09,60671,334641,5,Aragon
            2019M08,80941,618591,7,Aragon
            2019M07,58747,358061,6,Aragon
            2022M07,30550,196709,6,"Asturias, principado de"
            2022M06,22555,118980,5,"Asturias, principado de"
            2022M05,19695,94796,4,"Asturias, principado de"
            2022M04,24079,113891,4,"Asturias, principado de"
            2022M03,15910,78094,4,"Asturias, principado de"
            2022M02,10748,52795,4,"Asturias, principado de"
            2022M01,11813,69953,5,"Asturias, principado de"
            2021M12,18522,107659,5,"Asturias, principado de"
            2021M11,18067,85618,4,"Asturias, principado de"
            2021M10,21608,111979,5,"Asturias, principado de"
            2021M09,22332,128596,5,"Asturias, principado de"
            2021M08,24542,158809,6,"Asturias, principado de"
            2021M07,15933,97878,6,"Asturias, principado de"
            2021M06,9815,50228,5,"Asturias, principado de"
            2021M05,7582,33816,4,"Asturias, principado de"
            2021M04,4723,24182,5,"Asturias, principado de"
            2021M03,5045,24026,4,"Asturias, principado de"
            2021M02,3385,15457,4,"Asturias, principado de"
            2021M01,3688,16687,4,"Asturias, principado de"
            2020M12,4031,31537,7,"Asturias, principado de"
            2020M11,3491,24487,7,"Asturias, principado de"
            2020M10,7532,45034,6,"Asturias, principado de"
            2020M09,9086,50319,5,"Asturias, principado de"
            2020M08,11095,92115,8,"Asturias, principado de"
            2020M07,9741,67955,7,"Asturias, principado de"
            2020M06,2322,11535,5,"Asturias, principado de"
            2020M05,2038,11596,5,"Asturias, principado de"
            2020M04,1386,7359,5,"Asturias, principado de"
            2020M03,10806,66620,6,"Asturias, principado de"
            2020M02,22751,120969,5,"Asturias, principado de"
            2020M01,22034,124667,5,"Asturias, principado de"
            2019M12,29755,165396,5,"Asturias, principado de"
            2019M11,20771,113271,5,"Asturias, principado de"
            2019M10,23801,147712,6,"Asturias, principado de"
            2019M09,38343,235355,6,"Asturias, principado de"
            2019M08,37703,301982,8,"Asturias, principado de"
            2019M07,33997,242739,7,"Asturias, principado de"
            2022M07,42798,263120,6,"Balears, illes"
            2022M06,34830,179105,5,"Balears, illes"
            2022M05,31591,157342,5,"Balears, illes"
            2022M04,42813,232950,5,"Balears, illes"
            2022M03,31407,170490,5,"Balears, illes"
            2022M02,22739,132178,5,"Balears, illes"
            2022M01,32556,274556,8,"Balears, illes"
            2021M12,41580,275048,6,"Balears, illes"
            2021M11,32982,186956,5,"Balears, illes"
            2021M10,37261,204211,5,"Balears, illes"
            2021M09,33580,206314,6,"Balears, illes"
            2021M08,34833,266165,7,"Balears, illes"
            2021M07,23631,156774,6,"Balears, illes"
            2021M06,13988,89738,6,"Balears, illes"
