fecha,turistas,pernoctaciones,duracion_media_de_los_viajes,zona
            2022M07,1166367,8937963,7,Andalucia
            2022M06,1007892,7930044,7,Andalucia
            2022M05,1076642,8160353,7,Andalucia
            2022M04,931098,7159528,7,Andalucia
            2022M03,670275,5860862,8,Andalucia
            2022M02,490336,4320232,8,Andalucia
            2022M01,488945,4687975,9,Andalucia
            2021M12,430735,3955720,9,Andalucia
            2021M11,613899,4922623,8,Andalucia
            2021M10,775484,6177887,8,Andalucia
            2021M09,736103,6034478,8,Andalucia
            2021M08,840114,7699149,9,Andalucia
            2021M07,625906,5349766,8,Andalucia
            2021M06,411631,3442325,8,Andalucia
            2021M05,322320,2745872,8,Andalucia
            2021M04,259757,2444239,9,Andalucia
            2021M03,232973,2282128,9,Andalucia
            2021M02,194321,1928448,9,Andalucia
            2021M01,225524,1782793,7,Andalucia
            2020M12,265713,3583258,13,Andalucia
            2020M11,247534,3171176,12,Andalucia
            2020M10,332708,4207107,12,Andalucia
            2020M09,345244,3883629,11,Andalucia
            2020M08,562305,6604360,11,Andalucia
            2020M07,443002,4519276,10,Andalucia
            2020M06,207153,1641952,7,Andalucia
            2020M05,178482,2269208,12,Andalucia
            2020M04,164274,2199916,13,Andalucia
            2020M03,558986,6437887,11,Andalucia
            2020M02,673979,5519719,8,Andalucia
            2020M01,712861,6377269,8,Andalucia
            2019M12,611563,5552288,9,Andalucia
            2019M11,768912,6489976,8,Andalucia
            2019M10,1175038,8911375,7,Andalucia
            2019M09,1253949,9067127,7,Andalucia
            2019M08,1571396,13349706,8,Andalucia
            2019M07,1297303,8739387,6,Andalucia
            2022M07,110774,744415,6,Aragon
            2022M06,86787,640297,7,Aragon
            2022M05,87564,654071,7,Aragon
            2022M04,77014,597619,7,Aragon
            2022M03,68667,566198,8,Aragon
            2022M02,57633,440777,7,Aragon
            2022M01,59877,517231,8,Aragon
            2021M12,60486,526114,8,Aragon
            2021M11,70515,512383,7,Aragon
            2021M10,81473,606000,7,Aragon
            2021M09,85445,609410,7,Aragon
            2021M08,112516,847985,7,Aragon
            2021M07,86783,637568,7,Aragon
            2021M06,61224,472974,7,Aragon
            2021M05,53190,401926,7,Aragon
            2021M04,43959,372838,8,Aragon
            2021M03,45730,381043,8,Aragon
            2021M02,39695,309350,7,Aragon
            2021M01,39615,263899,6,Aragon
            2020M12,47069,570775,12,Aragon
            2020M11,42772,457959,10,Aragon
            2020M10,59662,658060,11,Aragon
            2020M09,63263,549875,8,Aragon
            2020M08,92070,856055,9,Aragon
            2020M07,81317,678424,8,Aragon
            2020M06,41213,263351,6,Aragon
            2020M05,29157,311359,10,Aragon
            2020M04,23956,287877,12,Aragon
            2020M03,57598,711449,12,Aragon
            2020M02,69269,542652,7,Aragon
            2020M01,70286,661038,9,Aragon
            2019M12,65647,660993,10,Aragon
            2019M11,67780,638272,9,Aragon
            2019M10,85844,703883,8,Aragon
            2019M09,94973,656469,6,Aragon
            2019M08,142231,1181102,8,Aragon
            2019M07,103324,596361,5,Aragon
            2022M07,50283,432295,8,"Asturias, principado de"
            2022M06,43367,381184,8,"Asturias, principado de"
            2022M05,36313,330507,9,"Asturias, principado de"
            2022M04,33415,295496,8,"Asturias, principado de"
            2022M03,25115,281019,11,"Asturias, principado de"
